# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

26900 8 2.30521 19 0.854618 1.96704 
27000 8 2.07487 17 0.980705 2.16319 
27100 8 2.27977 17 0.817393 1.91468 
27200 8 2.01348 17 1.01221 2.2184 
27300 8 2.29723 18 0.886051 1.99017 
27400 7 2.06342 16 1.03631 2.23159 
27500 7 2.20997 15 0.962064 2.10813 
27600 7 2.14059 16 1.02027 2.2094 
27700 8 2.13172 16 1.0644 2.2587 
27800 8 2.23047 17 1.01086 2.20472 
27900 8 2.02554 18 1.07416 2.29581 
28000 8 2.23113 17 1.04539 2.21328 
28100 8 1.94835 17 1.11076 2.33855 
28200 8 2.2265 17 0.976014 2.12602 
28300 8 2.01395 16 1.06789 2.2704 
28400 7 2.16681 17 0.915796 2.05462 
28500 7 2.10996 17 0.961329 2.12989 
28600 7 2.11458 16 0.950094 2.09669 
28700 7 2.19506 18 0.930073 2.08041 
28800 7 2.08151 18 0.963402 2.14349 
28900 7 2.20348 19 0.845539 1.98175 
29000 8 2.2112 19 0.92256 2.08542 
29100 7 2.26843 18 0.822463 1.94987 
29200 7 2.11256 18 0.91482 2.0834 
29300 7 2.15245 18 0.880419 2.02599 
29400 7 2.16904 17 0.916849 2.0793 
29500 8 2.11072 18 0.911255 2.05978 
29600 8 2.12234 19 0.898404 2.05502 
29700 8 2.0362 20 0.956103 2.13966 
29800 7 2.12431 18 0.890054 2.04223 
29900 8 1.98085 17 1.02795 2.24219 
30000 8 2.2344 18 0.900477 2.03886 
30100 8 1.99686 18 0.972039 2.15422 
30200 8 2.19925 17 0.939874 2.08851 
30300 9 2.06302 20 0.979665 2.16954 
30400 8 2.00865 18 0.983078 2.16965 
30500 8 2.15996 18 0.948819 2.11388 
30600 8 1.95583 17 0.992695 2.19017 
30700 7 2.01356 18 0.931068 2.0991 
30800 7 1.85815 19 1.00461 2.2279 
30900 8 2.03095 19 0.943779 2.12047 
31000 7 1.90799 17 0.983237 2.1999 
31100 8 2.03852 17 0.970376 2.16998 
31200 7 1.79731 16 1.0121 2.27381 
31300 7 1.8344 15 1.03342 2.265 
31400 8 2.00827 16 0.970633 2.17787 
31500 8 1.86395 20 1.0351 2.27144 
31600 9 1.99219 21 0.967653 2.17279 
31700 8 1.93331 18 1.00532 2.2204 
31800 8 2.16712 19 0.911598 2.07128 
31900 7 2.01993 19 0.904061 2.06535 
32000 7 2.16658 17 0.911758 2.04644 
32100 9 2.11206 20 0.890293 2.04761 
32200 7 2.04015 19 0.903011 2.05612 
32300 6 2.03494 17 0.940498 2.12235 
32400 8 1.92654 19 0.986059 2.18177 
32500 10 1.98347 22 0.949749 2.14662 
32600 7 2.04862 18 0.976813 2.16526 
32700 10 2.04274 21 0.930341 2.11111 
32800 8 2.1547 19 0.895586 2.05839 
32900 8 2.08606 20 0.912321 2.07767 
33000 9 2.05373 23 0.918632 2.09242 
33100 10 2.12678 22 0.933407 2.09038 
33200 9 2.07172 24 0.925776 2.1019 
33300 10 2.26247 25 0.912005 2.04592 
33400 9 2.15466 26 0.915838 2.07691 
33500 8 2.23575 23 0.889403 2.02882 
33600 9 2.14478 25 0.841184 1.98516 
33700 8 2.11079 21 0.899517 2.0512 
33800 8 2.1601 21 0.838497 1.97845 
33900 8 2.15888 23 0.890798 2.04477 
34000 8 2.16792 20 0.875347 2.01824 
34100 7 2.03684 20 0.914716 2.09147 
34200 8 2.13878 19 0.887758 2.02585 
34300 8 1.93056 19 0.889694 2.06955 
34400 7 2.06033 21 0.885068 2.03623 
34500 9 2.10495 29 0.84951 1.9944 
