# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

36600 86 269.465 249.558 1 116.919 0.997209 
36700 61 240.902 215.295 1 118.41 1 
36800 103 247.67 215.621 1 117.874 1 
36900 79 290.468 284.81 1 117.899 0.996962 
37000 97 242.309 213.041 1 119.515 1 
37100 61 258.557 237.197 1 119.033 0.998689 
37200 116 265.621 249.353 1 119.802 1 
37300 84 267.202 251.202 1 120.369 1 
37400 72 244.014 211.083 1 121.431 0.995 
37500 110 264.309 243.455 1 120.509 1 
37600 77 264.675 246.519 1 122.13 0.998442 
37700 85 261.541 244.553 1 121.894 1 
37800 103 277.068 249.107 1 122.175 0.99301 
37900 93 266.978 241.871 1 122.688 0.996559 
38000 90 266.622 249.922 1 123.3 1 
38100 90 256.044 222.322 1 123.967 0.991556 
38200 87 277.563 261.356 1 123.851 0.997241 
38300 101 265.257 247.881 1 124.436 1 
38400 77 266.714 246.299 1 125.234 0.994805 
38500 90 274.333 257.189 1 124.489 1 
38600 90 259.833 247.5 1 125.811 1 
38700 86 263.267 245.023 1 126.058 1 
38800 107 254.439 237.29 1 126.673 1 
38900 70 295.471 295.543 1 126.271 1 
39000 108 262.731 234.583 1 127.389 0.997407 
39100 65 268.369 266.308 1 127.154 1 
39200 116 265.284 239.853 1 128.474 1 
39300 73 259.411 251.37 1 128.712 1 
39400 86 256.942 234 1 128.593 0.997674 
39500 104 267.442 243.856 1 129.712 1 
39600 63 269.175 254.127 1 130.032 1 
39700 95 261.642 235.842 1 129.516 0.992 
39800 87 276.782 275.517 1 130.701 1 
39900 91 261.462 240.791 1 131.385 1 
40000 90 269.033 242.667 1 131.289 0.987556 
40100 84 273.488 248.286 1 132.214 1 
40200 80 268.85 256.125 1 131.975 1 
